Alpha,Hands,Trials,Adaptive Bankroll,Nash Bankroll,KL Divergence
0.2,10000,10,552.4,908.0,8.115641802465987
0.4,10000,10,959.8,1394.0,8.11016341861643
0.6,10000,10,474.0,694.0,11.59188529826914
0.8,10000,10,-491.8,185.8,18.715840611293878
