Alpha,Hands,Trials,Adaptive Bankroll,Nash Bankroll,KL Divergence
0.2,10000,10,1024.0,1003.8,12.605177615702203
0.4,10000,10,2483.6,1939.0,17.04999460179905
0.6,10000,10,3332.8,2923.8,20.191488641957356
0.8,10000,10,4648.2,3771.8,32.87496285270181
