Alpha,Hands,Trials,Adaptive Bankroll,Nash Bankroll,KL Divergence
0.2,10000,10,5904.2,5235.0,15.759352025810932
0.4,10000,10,11577.8,11099.6,24.57795883797947
0.6,10000,10,16764.2,16307.8,36.201232327517424
0.8,10000,10,21416.0,21043.6,60.84010385863094
